"OldName","NewName","Category","Date"
"-在一个永远不会成为黑夜的黄昏沉醉.md","ESSAY-1--在一个永远不会成为黑夜的黄昏沉醉.md","ESSAY","0000-00-00"
"在具体的职场打捞灵魂.md","ESSAY-2-在具体的职场打捞灵魂.md","ESSAY","2024-01-20"
"有褶皱的幸福.md","ESSAY-3-有褶皱的幸福.md","ESSAY","2024-12-31"
"4-文化资本决定我的阶级身份.md","ESSAY-4-文化资本决定我的阶级身份.md","ESSAY","2025-01-11"
"12-disco elysium.md","ESSAY-5-disco elysium.md","ESSAY","2025-03-27"
"14-海女.md","ESSAY-6-海女.md","ESSAY","2025-04-05"
"19-妈妈岗影响的不只是妈妈.md","ESSAY-7-妈妈岗影响的不只是妈妈.md","ESSAY","2025-06-10"
"7-劳动者的“说谎权”.md","LAW-1-劳动者的“说谎权”.md","LAW","0000-00-00"
"Antitrustia连锁医院的反竞争行为.md","LAW-2-Antitrustia连锁医院的反竞争行为.md","LAW","0000-00-00"
"快速检视的原罪.md","LAW-3-快速检视的原罪.md","LAW","0000-00-00"
"商业纠纷中的调解.md","LAW-4-商业纠纷中的调解.md","LAW","0000-00-00"
"域外调解面面观：看得见的制度和看不见的人性.md","LAW-5-域外调解面面观：看得见的制度和看不见的人性.md","LAW","0000-00-00"
"自愿性和确定性：关于UNCITRAL调解条款说明的反思.md","LAW-6-自愿性和确定性：关于UNCITRAL调解条款说明的反思.md","LAW","0000-00-00"
"日本消费税.md","LAW-7-日本消费税.md","LAW","2023-10-13"
"游戏上线后优化技能表述会构成虚假宣传吗？.md","LAW-8-游戏上线后优化技能表述会构成虚假宣传吗？.md","LAW","2023-10-19"
"广告涉军问题.md","LAW-9-广告涉军问题.md","LAW","2023-11-02"
"游戏公司可以在自己的活动中使用“ゲットだぜ”吗？.md","LAW-10-游戏公司可以在自己的活动中使用“ゲットだぜ”吗？.md","LAW","2023-11-07"
"游戏广告合规自查手册.md","LAW-11-游戏广告合规自查手册.md","LAW","2023-11-15"
"同人集会官方怎么写免责声明.md","LAW-12-同人集会官方怎么写免责声明.md","LAW","2023-11-20"
"MCN资质对接问题与法律梳理.md","LAW-13-MCN资质对接问题与法律梳理.md","LAW","2023-11-27"
"冒充未成年人恶意退款问题.md","LAW-14-冒充未成年人恶意退款问题.md","LAW","2023-12-02"
"虚假广告与欺诈问题.md","LAW-15-虚假广告与欺诈问题.md","LAW","2023-12-02"
"日本游戏充值行为申报（备案）.md","LAW-16-日本游戏充值行为申报（备案）.md","LAW","2023-12-03"
"未成年人网络保护条例》合规亮点.md","LAW-17-未成年人网络保护条例》合规亮点.md","LAW","2023-12-09"
"微信小程序（含小游戏）备案.md","LAW-18-微信小程序（含小游戏）备案.md","LAW","2023-12-11"
"游戏公司员工离职后泄露内部充值福利.md","LAW-19-游戏公司员工离职后泄露内部充值福利.md","LAW","2023-12-11"
"网络游戏版号审批.md","LAW-20-网络游戏版号审批.md","LAW","2023-12-15"
"人工智能在网络游戏中的应用.md","LAW-21-人工智能在网络游戏中的应用.md","LAW","2023-12-19"
"游戏玩法的著作权保护.md","LAW-22-游戏玩法的著作权保护.md","LAW","2023-12-20"
"《互联网广告管理办法》合规要点.md","LAW-23-《互联网广告管理办法》合规要点.md","LAW","2023-12-22"
"国内游戏公司停止运营国际服可以删除数据吗？.md","LAW-24-国内游戏公司停止运营国际服可以删除数据吗？.md","LAW","2024-01-03"
"游戏内语音系统合规要点.md","LAW-25-游戏内语音系统合规要点.md","LAW","2024-01-03"
"玩家想在番茄小说创作同人文.md","LAW-26-玩家想在番茄小说创作同人文.md","LAW","2024-01-11"
"虚拟道具、虚拟币以及法定货币问题.md","LAW-27-虚拟道具、虚拟币以及法定货币问题.md","LAW","2024-01-11"
"游戏内举报系统合规要点.md","LAW-28-游戏内举报系统合规要点.md","LAW","2024-01-15"
"主流游戏厂商注销账号流程.md","LAW-29-主流游戏厂商注销账号流程.md","LAW","2024-01-15"
"新《公司法》法规解读.md","LAW-30-新《公司法》法规解读.md","LAW","2024-01-25"
"射击游戏广告可以出现准星倒地流血吗.md","LAW-31-射击游戏广告可以出现准星倒地流血吗.md","LAW","2024-01-29"
"为什么不能全球同服？.md","LAW-32-为什么不能全球同服？.md","LAW","2024-02-04"
"游戏内单个道具定价是否需要公示.md","LAW-33-游戏内单个道具定价是否需要公示.md","LAW","2024-02-09"
"网络游戏概率公示问题.md","LAW-34-网络游戏概率公示问题.md","LAW","2024-02-12"
"在日韩能否开展游戏账号角色交易.md","LAW-35-在日韩能否开展游戏账号角色交易.md","LAW","2024-02-14"
"上海市重刻公章指南.md","LAW-36-上海市重刻公章指南.md","LAW","2024-02-20"
"游戏退款结算时如何合规扣除虚拟币.md","LAW-37-游戏退款结算时如何合规扣除虚拟币.md","LAW","2024-02-28"
"词库版广告素材风险自查.md","LAW-38-词库版广告素材风险自查.md","LAW","2024-03-01"
"网络游戏虚拟货币资质办理.md","LAW-39-网络游戏虚拟货币资质办理.md","LAW","2024-03-01"
"网络游戏资质问题.md","LAW-40-网络游戏资质问题.md","LAW","2024-03-13"
"网络文化经营许可证年报填写指南.md","LAW-41-网络文化经营许可证年报填写指南.md","LAW","2024-03-15"
"配偶担任法定代表人的公司若遇危机.md","LAW-42-配偶担任法定代表人的公司若遇危机.md","LAW","2024-03-20"
"35-文网文填报.md","LAW-43-文网文填报.md","LAW","2024-03-21"
"玩家想制作游戏周边.md","LAW-44-玩家想制作游戏周边.md","LAW","2024-03-23"
"意大利《文化遗产和景观法规》解读.md","LAW-45-意大利《文化遗产和景观法规》解读.md","LAW","2024-03-26"
"联名营销从乐乐茶鲁迅事件看授权红线.md","LAW-46-联名营销从乐乐茶鲁迅事件看授权红线.md","LAW","2024-04-05"
"常用素材网站版权限制与合规要点.md","LAW-47-常用素材网站版权限制与合规要点.md","LAW","2024-04-15"
"日本游戏发行抽卡合规要点.md","LAW-48-日本游戏发行抽卡合规要点.md","LAW","2024-04-15"
"游戏中的伤害数值能否简写？.md","LAW-49-游戏中的伤害数值能否简写？.md","LAW","2024-04-28"
"玩家退款后能否直接从游戏账户中扣除虚拟币？.md","LAW-50-玩家退款后能否直接从游戏账户中扣除虚拟币？.md","LAW","2024-05-01"
"10-游戏退款规定梳理及合规方向.md","LAW-51-游戏退款规定梳理及合规方向.md","LAW","2024-05-27"
"32-合同补签和倒签.md","LAW-52-合同补签和倒签.md","LAW","2024-06-30"
"26-巴西工作签证与劳务外包法律分析.md","LAW-53-巴西工作签证与劳务外包法律分析.md","LAW","2024-07-01"
"27-联合抵制交易是如何认定的？.md","LAW-54-联合抵制交易是如何认定的？.md","LAW","2024-07-10"
"23-近三年腾讯诉讼数据分析报告.md","LAW-55-近三年腾讯诉讼数据分析报告.md","LAW","2024-07-13"
"25-抖音诉腾讯.md","LAW-56-抖音诉腾讯.md","LAW","2024-07-21"
"30-苹果的两个前车之鉴.md","LAW-57-苹果的两个前车之鉴.md","LAW","2024-07-22"
"28-电商平台退款机制与涉诈骗.md","LAW-58-电商平台退款机制与涉诈骗.md","LAW","2024-08-03"
"29-封闭的鸿蒙系统能不能拒绝上架应用宝？.md","LAW-59-封闭的鸿蒙系统能不能拒绝上架应用宝？.md","LAW","2024-08-13"
"34-以色列公司自愿清算流程.md","LAW-60-以色列公司自愿清算流程.md","LAW","2024-08-15"
"24-有奖销售活动设计合规自查map.md","LAW-61-有奖销售活动设计合规自查map.md","LAW","2024-08-16"
"以色列解雇手册.md","LAW-62-以色列解雇手册.md","LAW","2024-08-21"
"31-拒绝执行手机禁售令的可能性及后果.md","LAW-63-拒绝执行手机禁售令的可能性及后果.md","LAW","2024-08-23"
"36-上海网络文化经营许可证年报年检.md","LAW-64-上海网络文化经营许可证年报年检.md","LAW","2024-08-27"
"20-硬核联盟.md","LAW-65-硬核联盟.md","LAW","2024-08-31"
"游戏玩法命名中的法律风险探讨——以“大富翁”为例.md","LAW-66-游戏玩法命名中的法律风险探讨——以“大富翁”为例.md","LAW","2024-11-20"
"3-数据隐私守卫战——The Fiduciary Model.md","LAW-67-数据隐私守卫战——The Fiduciary Model.md","LAW","2025-03-08"
"2-当屠杀不需要宣战.md","LAW-68-当屠杀不需要宣战.md","LAW","2025-03-11"
"1-墓地能被执行吗.md","LAW-69-墓地能被执行吗.md","LAW","2025-03-14"
"5-仲裁员回避的新常态.md","LAW-70-仲裁员回避的新常态.md","LAW","2025-03-20"
"11-为什么不要随便接大厂的“外包”offer？.md","LAW-71-为什么不要随便接大厂的“外包”offer？.md","LAW","2025-03-23"
"37-MaskPark事件.md","LAW-72-MaskPark事件.md","LAW","2025-07-26"
"38-香港对偷拍问题是如何规制的.md","LAW-73-香港对偷拍问题是如何规制的.md","LAW","2025-07-30"
"39-公司垫付股权转让款.md","LAW-74-公司垫付股权转让款.md","LAW","2025-08-07"
"todo.md","NONE-1-todo.md","NONE","0000-00-00"
"15-职场生存心经.md","NONE-2-职场生存心经.md","NONE","2025-04-06"
"美国反垄断法随记.md","NOTES-1-美国反垄断法随记.md","NOTES","0000-00-00"
"18-labor law notes.md","NOTES-2-labor law notes.md","NOTES","2022-09-10"
"16-仲裁法.md","NOTES-3-仲裁法.md","NOTES","2024-09-10"
"17-ARBITRATION PRACTICE.md","NOTES-4-ARBITRATION PRACTICE.md","NOTES","2025-04-21"
"40-欧盟法学习随记.md","NOTES-5-欧盟法学习随记.md","NOTES","2025-08-08"
"大模型通识.md","NOTES-6-大模型通识.md","NOTES","2026-03-10"
"国产游戏与买量营销.md","BUSINESS-1-国产游戏与买量营销.md","BUSINESS","2023-11-01"
"游戏反拆入门.md","BUSINESS-2-游戏反拆入门.md","BUSINESS","2024-01-10"
"游戏的经济系统设计.md","BUSINESS-3-游戏的经济系统设计.md","BUSINESS","2024-02-05"
"UA中台如何支撑游戏全球发行.md","BUSINESS-4-UA中台如何支撑游戏全球发行.md","BUSINESS","2024-02-20"
"如何做高消耗真人广告.md","BUSINESS-5-如何做高消耗真人广告.md","BUSINESS","2024-03-15"
"抖音内容营销方法论.md","BUSINESS-6-抖音内容营销方法论.md","BUSINESS","2024-04-01"
"游戏行业常见“黑话”.md","BUSINESS-7-游戏行业常见“黑话”.md","BUSINESS","2024-06-07"
"21-手机厂商销售代理模式.md","BUSINESS-8-手机厂商销售代理模式.md","BUSINESS","2024-07-10"
"33-Brandy Melville.md","BUSINESS-9-Brandy Melville.md","BUSINESS","2025-07-02"
"非虚构作品《比山更高》的写作，够真实吗？.md","READING-1-非虚构作品《比山更高》的写作，够真实吗？.md","READING","0000-00-00"
"欧盟法学习.md","READING-2-欧盟法学习.md","READING","0000-00-00"
"网页读书记录.md","READING-3-网页读书记录.md","READING","0000-00-00"
"不科学但不科学得刚刚好.md","READING-4-不科学但不科学得刚刚好.md","READING","2024-01-25"
"《游戏设计艺术》读书笔记.md","READING-5-《游戏设计艺术》读书笔记.md","READING","2024-03-05"
"《天生变态狂》读书笔记.md","READING-6-《天生变态狂》读书笔记.md","READING","2024-07-12"
"关于“名字待定”以及读书会的一切.md","READING-7-关于“名字待定”以及读书会的一切.md","READING","2024-08-25"
"6-《音乐是如何变成免费午餐的》读书笔记.md","READING-8-《音乐是如何变成免费午餐的》读书笔记.md","READING","2024-09-23"
"我们累了  读《倦怠社会》.md","READING-9-我们累了  读《倦怠社会》.md","READING","2024-11-23"
"底层生存.md","READING-10-底层生存.md","READING","2025-01-02"
"9-Strait is the gate.md","READING-11-Strait is the gate.md","READING","2025-01-12"
"8-普通人为什么要读宏观经济学？ 《宏观经济学与中国政策》读书笔记.md","READING-12-普通人为什么要读宏观经济学？ 《宏观经济学与中国政策》读书笔记.md","READING","2025-02-01"
"名字待定第四期即将启动.md","READING-13-名字待定第四期即将启动.md","READING","2025-03-07"
"22-救命.md","READING-14-救命.md","READING","2025-07-05"
